Type;Fuel;Segment;Euro Standart;Alpha;Beta;Gamma;Delta;Epsilon;Zita;Hta;;;;;;;
passengerCar;Petrol;mini;Euro 4;0.00508;-0.27204;17.91861;0;0.00084;0.09713;3.72131;;;;;;;
passengerCar;Petrol;mini;Euro 4;0.00508;-0.27204;17.91861;0;0.00084;0.09713;3.72131;;;;;;;
passengerCar;Petrol;mini;Euro 5;0.00508;-0.27204;17.91861;0;0.00084;0.09713;3.72131;;;;;;;
passengerCar;Petrol;mini;Euro 5;0.00508;-0.27204;17.91861;0;0.00084;0.09713;3.72131;;;;;;;
passengerCar;Petrol;mini;Euro 6 a/b/c;0.00508;-0.27204;17.91861;0;0.00084;0.09713;3.72131;;;;;;;
passengerCar;Petrol;mini;Euro 6 a/b/c;0.00508;-0.27204;17.91861;0;0.00084;0.09713;3.72131;;;;;;;
passengerCar;Petrol;mini;Euro 6 d-temp;0.00508;-0.27204;17.91861;0;0.00084;0.09713;3.72131;;;;;;;
passengerCar;Petrol;mini;Euro 6 d-temp;0.00508;-0.27204;17.91861;0;0.00084;0.09713;3.72131;;;;;;;
passengerCar;Petrol;mini;Euro 6 d-temp;0.00508;-0.27204;17.91861;0;0.00084;0.09713;3.72131;;;;;;;
passengerCar;Petrol;mini;Euro 6 d;0.00508;-0.27204;17.91861;0;0.00084;0.09713;3.72131;;;;;;;
passengerCar;Petrol;mini;Euro 6 d;0.00508;-0.27204;17.91861;0;0.00084;0.09713;3.72131;;;;;;;
passengerCar;Petrol;mini;Euro 6 d;0.00508;-0.27204;17.91861;0;0.00084;0.09713;3.72131;;;;;;;
passengerCar;Petrol;small;PRE ECE;0.00069;-0.07613;3.01373;45.57647;0.00017;-0.01914;1.24894;;;;;;;
passengerCar;Petrol;small;ECE 15/00-01;0.00087;-0.11219;8.51318;84.8873;-0.00009;0.01621;2.45952;;;;;;;
passengerCar;Petrol;small;ECE 15/02;0.0019;-0.1256;22.84901;50.45657;-0.001;0.20325;2.88596;;;;;;;
passengerCar;Petrol;small;ECE 15/03;0.0019;-0.1256;22.84901;50.45657;-0.001;0.20325;2.88596;;;;;;;
passengerCar;Petrol;small;ECE 15/04;-0.00056;0.09872;1.93699;-18.62569;-0.00055;0.09056;-0.64774;;;;;;;
passengerCar;Petrol;small;Improved Conventional;0.06739;-7.30948;417.418;0;0;0;118.42712;;;;;;;
passengerCar;Petrol;small;Open Loop;0.05508;-6.51095;402.75645;0;0;0;107.54897;;;;;;;
passengerCar;Petrol;small;Euro 1;0;0.07482;12.19837;0;-0.00106;0.18879;1.46276;;;;;;;
passengerCar;Petrol;small;Euro 2;0.00121;-0.04768;17.50022;0;-0.00096;0.2056;1.92644;;;;;;;
passengerCar;Petrol;small;Euro 3;0.00048;0.04045;16.39564;0;-0.001;0.20498;2.20886;;;;;;;
passengerCar;Petrol;small;Euro 3;0.00048;0.04045;16.39564;0;-0.001;0.20498;2.20886;;;;;;;
passengerCar;Petrol;small;Euro 4;0.0048;-0.25333;20.95161;0;0.0008;0.09133;3.51264;;;;;;;
passengerCar;Petrol;small;Euro 4;0.0048;-0.25333;20.95161;0;0.0008;0.09133;3.51264;;;;;;;
passengerCar;Petrol;small;Euro 5;0.0048;-0.25333;20.95161;0;0.0008;0.09133;3.51264;;;;;;;
passengerCar;Petrol;small;Euro 5;0.0048;-0.25333;20.95161;0;0.0008;0.09133;3.51264;;;;;;;
passengerCar;Petrol;small;Euro 6 a/b/c;0.0048;-0.25333;20.95161;0;0.0008;0.09133;3.51264;;;;;;;
passengerCar;Petrol;small;Euro 6 a/b/c;0.0048;-0.25333;20.95161;0;0.0008;0.09133;3.51264;;;;;;;
passengerCar;Petrol;small;Euro 6 d-temp;0.0048;-0.25333;20.95161;0;0.0008;0.09133;3.51264;;;;;;;
passengerCar;Petrol;small;Euro 6 d-temp;0.0048;-0.25333;20.95161;0;0.0008;0.09133;3.51264;;;;;;;
passengerCar;Petrol;small;Euro 6 d-temp;0.0048;-0.25333;20.95161;0;0.0008;0.09133;3.51264;;;;;;;
passengerCar;Petrol;small;Euro 6 d;0.0048;-0.25333;20.95161;0;0.0008;0.09133;3.51264;;;;;;;
passengerCar;Petrol;small;Euro 6 d;0.0048;-0.25333;20.95161;0;0.0008;0.09133;3.51264;;;;;;;
passengerCar;Petrol;small;Euro 6 d;0.0048;-0.25333;20.95161;0;0.0008;0.09133;3.51264;;;;;;;
passengerCar;Petrol;medium;PRE ECE;0.00009;-0.00971;0.35613;5.92587;0.00002;-0.00206;0.12883;;;;;;;
passengerCar;Petrol;medium;ECE 15/00-01;0.00049;-0.05143;2.02708;45.06162;0.00009;-0.00945;0.8705;;;;;;;
passengerCar;Petrol;medium;ECE 15/02;0.00086;-0.074;4.24575;42.55707;0.00004;0.00868;0.98347;;;;;;;
passengerCar;Petrol;medium;ECE 15/03;0.00086;-0.074;4.24575;42.55707;0.00004;0.00868;0.98347;;;;;;;
passengerCar;Petrol;medium;ECE 15/04;0.00011;-0.02072;1.01581;30.52977;0.00004;-0.01094;0.78944;;;;;;;
passengerCar;Petrol;medium;Improved Conventional;2.8626;-341.99651;18691.09429;0.00009;0;0;3846.76376;;;;;;;
passengerCar;Petrol;medium;Open Loop;0.05317;-6.26615;346.85345;0;0;0;72.29683;;;;;;;
passengerCar;Petrol;medium;Euro 1;0;0.00478;2.75285;0;-0.00017;0.02812;0.31523;;;;;;;
passengerCar;Petrol;medium;Euro 2;0.00004;0.02412;3.0691;0;-0.00018;0.04383;0.20218;;;;;;;
passengerCar;Petrol;medium;Euro 3;0.00012;0.00328;2.80655;0;-0.00012;0.02836;0.29539;;;;;;;
