Type;Fuel;Segment;Euro Standart;Road Slope;Load;Alpha;Beta;Gamma;Delta;Epsilon;Zita;Hta;;;;;;
heavyCommercial;Petrol;PetrolHeavy3.5;Conventional;-0.04;0.00;0.00253359249136725;-0.238280300467737;7.07767681201326;16.2922435050481;0.00025676932263288;-0.00790640297791817;0.851333886784196;;;;;;
heavyCommercial;Petrol;PetrolHeavy3.5;Conventional;-0.04;0.5;-0.000164895816149158;0.114098528046412;10.2364015175482;-32.3792703299912;0.00238440637609485;0.0614110128466482;0.102663705560294;;;;;;
heavyCommercial;Petrol;PetrolHeavy3.5;Conventional;-0.04;1.00;-0.0000601498509652535;0.0214845264632685;6.45218692488765;-26.601374003864;0.00147158801116865;0.0208164549980134;0.147864395950928;;;;;;
heavyCommercial;Petrol;PetrolHeavy3.5;Conventional;0.00;0.00;0.000104650958132784;0.0266553689935323;1.93049606627816;8.30381712843181;-0.0000471117805080612;0.01226828038041;0.108727604678239;;;;;;
heavyCommercial;Petrol;PetrolHeavy3.5;Conventional;0.00;0.5;0.0000898628683137986;0.0233199304349462;1.73371595800349;8.00607610206833;-0.0000370644301056719;0.0100114994948746;0.101113422161011;;;;;;
heavyCommercial;Petrol;PetrolHeavy3.5;Conventional;0.00;1.00;0.00230907682536719;-0.162586389302601;6.29561874040671;11.9930249501633;0.000183022091198805;-0.00633975221633808;0.499114486531825;;;;;;
heavyCommercial;Petrol;PetrolHeavy3.5;Conventional;0.04;0.00;0.00211064751627926;-0.147638950175796;6.8056787532351;4.64398343557142;0.0000685420973295365;-0.00132514158893876;0.373345641934073;;;;;;
heavyCommercial;Petrol;PetrolHeavy3.5;Conventional;0.04;0.5;0.000192439375767394;0.041946024001507;1.9708909865588;5.27058694212579;-0.0000343883539634795;0.00782065383604233;0.0783752005808736;;;;;;
heavyCommercial;Petrol;PetrolHeavy3.5;Conventional;0.04;1.00;0.000120893334648094;0.0605496330479825;2.50595488368372;5.29674067835319;-0.000031714354511563;0.00822267857501019;0.0989536188328407;;;;;;
heavyCommercial;Diesel;rigid7.5;Conventional;-0.04;0.00;0.0022916641942311;-0.215527343754274;6.40184354200509;14.7364833885618;0.000309556373067617;-0.00953179328326626;1.02635222582338;;;;;;
heavyCommercial;Diesel;rigid7.5;Conventional;-0.04;0.5;-0.000127269070682953;0.0880599465259731;7.90059895265537;-24.9911895125098;0.00245286779285373;0.0631729418076014;0.105619257492872;;;;;;
heavyCommercial;Diesel;rigid7.5;Conventional;-0.04;1.00;-0.0000473095170820352;0.0168982614868415;5.07477479970851;-20.9224921952819;0.00154268982898097;0.0218223469601948;0.155008224224675;;;;;;
heavyCommercial;Diesel;rigid7.5;Conventional;0.00;0.00;0.000073631691805307;0.0158266967144538;1.24050350525881;6.52523367283648;-0.0000370093058729334;0.0099064532926019;0.109313872978502;;;;;;
